Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
30/12/2022;2.6;2.6;2.6;2.6;2.614334529301213;5853;15301.7;29/12/2022;2.6
29/12/2022;2.58;2.6;2.6;2.58;2.5921391869427235;39702;102913.11;28/12/2022;2.56
28/12/2022;2.6;2.56;2.6;2.56;2.5802925998829602;18797;48501.76;27/12/2022;2.55
27/12/2022;2.55;2.55;2.56;2.55;2.551064217213612;49426;126088.9;26/12/2022;2.55
26/12/2022;2.55;2.55;2.55;2.55;2.5469395919455926;22497;57298.5;23/12/2022;2.51
23/12/2022;2.52;2.51;2.52;2.51;2.5199166940294258;1650662;4159530.73;22/12/2022;2.5
22/12/2022;2.54;2.5;2.55;2.5;2.510729320531758;54160;135981.1;21/12/2022;2.5
21/12/2022;2.52;2.5;2.52;2.5;2.5196234796191437;348268;877504.23;20/12/2022;2.5
20/12/2022;2.5;2.5;2.5;2.5;2.5025395721478843;35947;89958.79;19/12/2022;2.5
19/12/2022;2.5;2.5;2.5;2.5;2.479361768368618;9636;23891.13;16/12/2022;2.48
16/12/2022;2.45;2.48;2.48;2.45;2.460577329849446;16074;39551.32;15/12/2022;2.5
15/12/2022;2.45;2.5;2.5;2.45;2.4684303984779623;9461;23353.82;14/12/2022;2.45
14/12/2022;2.45;2.45;2.45;2.45;2.4496679064824654;15056;36882.2;13/12/2022;2.42
13/12/2022;2.42;2.42;2.42;2.42;2.4354743716116314;8116;19766.31;12/12/2022;2.42
12/12/2022;2.41;2.42;2.42;2.4;2.4066686215097906;122772;295471.52;07/12/2022;2.48
07/12/2022;2.42;2.48;2.48;2.37;2.4180427696064704;89269;215856.26;06/12/2022;2.41
06/12/2022;2.4;2.41;2.41;2.4;2.4072858404074706;73625;177236.42;05/12/2022;2.37
05/12/2022;2.41;2.37;2.41;2.33;2.362781729689255;232377;549056.13;02/12/2022;2.41
02/12/2022;2.43;2.41;2.43;2.4;2.413584748602748;92503;223263.83;01/12/2022;2.45
01/12/2022;2.5;2.45;2.5;2.45;2.468000327048426;262958;648980.43;30/11/2022;2.45
30/11/2022;2.45;2.45;2.45;2.42;2.43267070551995;302231;735228.5;29/11/2022;2.45
29/11/2022;2.5;2.45;2.5;2.45;2.4695006550050085;64885;160233.55;28/11/2022;2.5
28/11/2022;2.49;2.5;2.5;2.49;2.498223965856007;76851;191991.01;24/11/2022;2.5
25/11/2022;;;;;2.4992745449884644;3901;9749.67;24/11/2022;2.5
24/11/2022;2.49;2.5;2.5;2.49;2.4989124407180867;120821;301921.1;23/11/2022;2.5
23/11/2022;2.5;2.5;2.5;2.5;2.5000809853214108;88905;222269.7;22/11/2022;2.51
22/11/2022;2.55;2.51;2.55;2.51;2.5366058022409175;26507;67237.81;21/11/2022;2.55
21/11/2022;2.6;2.55;2.6;2.55;2.553586733510553;56051;143131.09;18/11/2022;2.6
18/11/2022;2.6;2.6;2.6;2.6;2.5995561408643058;20502;53296.1;16/11/2022;2.61
17/11/2022;;;;;2.67;1367;3649.89;16/11/2022;2.61
16/11/2022;2.67;2.67;2.67;2.67;2.664258080019224;16646;44349.24;15/11/2022;2.63
15/11/2022;2.65;2.63;2.66;2.63;2.642401151701878;54528;144084.85;14/11/2022;2.65
14/11/2022;2.6;2.65;2.65;2.6;2.6437540387265868;44259;117009.91;11/11/2022;2.65
11/11/2022;2.6;2.65;2.65;2.6;2.6176537939064626;51530;134887.7;10/11/2022;2.6
10/11/2022;2.6;2.6;2.61;2.6;2.6021077322377826;72049;187479.26;09/11/2022;2.59
09/11/2022;2.56;2.59;2.6;2.56;2.5914546471311932;44705;115850.98;08/11/2022;2.5
08/11/2022;2.5;2.5;2.5;2.5;2.5000362178243436;38655;96638.9;07/11/2022;2.5
07/11/2022;2.5;2.5;2.5;2.47;2.498492929043414;80965;202290.48;04/11/2022;2.5
04/11/2022;2.5;2.5;2.5;2.48;2.493903033674772;61114;152412.39;03/11/2022;2.49
03/11/2022;2.47;2.49;2.5;2.47;2.4880586084391165;96266;239515.45;02/11/2022;2.45
02/11/2022;2.45;2.45;2.45;2.45;2.4525390784634244;39152;96021.81;31/10/2022;2.45
31/10/2022;2.4;2.45;2.45;2.4;2.4174641739735026;25889;62585.73;28/10/2022;2.44
28/10/2022;2.44;2.44;2.44;2.44;2.436614445034519;18830;45881.45;27/10/2022;2.41
27/10/2022;2.4;2.41;2.41;2.4;2.4002346061192146;174761;419467.4;26/10/2022;2.4
26/10/2022;2.41;2.4;2.41;2.4;2.402921989897052;156390;375792.97;25/10/2022;2.36
25/10/2022;2.39;2.36;2.39;2.36;2.3688208566108004;13425;31801.42;24/10/2022;2.4
24/10/2022;2.4;2.4;2.4;2.4;2.400084128216988;114587;275018.44;21/10/2022;2.39
21/10/2022;2.37;2.39;2.39;2.35;2.354856813783485;127631;300552.73;20/10/2022;2.4
20/10/2022;2.4;2.4;2.4;2.4;2.4;25312;60748.8;18/10/2022;2.4
19/10/2022;;;;;2.4;2490;5976;18/10/2022;2.4
18/10/2022;2.4;2.4;2.4;2.39;2.3995168106312295;75250;180563.64;17/10/2022;2.39
17/10/2022;2.38;2.39;2.39;2.38;2.3886324786324784;24804;59247.64;14/10/2022;2.4
14/10/2022;2.38;2.4;2.4;2.38;2.3884210697025723;30831;73637.41;13/10/2022;2.4
13/10/2022;2.4;2.4;2.4;2.4;2.39902208488594;11003;26396.44;12/10/2022;2.42
12/10/2022;2.42;2.42;2.42;2.42;2.42;4424;10706.08;11/10/2022;2.42
11/10/2022;2.42;2.42;2.42;2.42;2.430716520184716;13426;32634.8;10/10/2022;2.45
10/10/2022;2.45;2.45;2.45;2.45;2.446964669139176;10246;25071.6;07/10/2022;2.42
07/10/2022;2.45;2.42;2.45;2.42;2.4409634036860357;56809;138668.69;06/10/2022;2.49
06/10/2022;2.45;2.49;2.49;2.45;2.4691229385307345;10672;26350.48;04/10/2022;2.45
05/10/2022;;;;;2.4788865836791145;2892;7168.94;04/10/2022;2.45
04/10/2022;2.45;2.45;2.45;2.45;2.4470513181019333;28450;69618.61;03/10/2022;2.45
03/10/2022;2.45;2.45;2.45;2.45;2.449934723866776;32937;80693.5;29/09/2022;2.45
30/09/2022;;;;;2.455339914740857;4457;10943.45;29/09/2022;2.45
29/09/2022;2.45;2.45;2.45;2.45;2.4527952643250592;27958;68575.25;28/09/2022;2.45
